Quantity_Sold_(kilo),Unit Selling Price (RMB/kg),Category Name,Loss Rate (%),Weekday,IsWeekend,Item Name
13.863,6.0,Edible Mushroom,3.43,Wednesday,False,Needle Mushroom (1)
34.554,14.0,Cabbage,9.26,Wednesday,False,Broccoli
2.844,8.0,Capsicum,6.72,Wednesday,False,Green Hot Peppers
4.342,10.0,Aquatic Tuberous Vegetables,29.25,Thursday,False,High Melon (1)
10.164,10.0,Edible Mushroom,5.05,Thursday,False,Apricot Bao Mushroom (1)
13.0,6.633333333333333,Flower/Leaf Vegetables,2.48,Thursday,False,Wawacai
2.254,16.0,Edible Mushroom,9.89,Thursday,False,Haixian Mushroom (1)
22.549,5.12280701754386,Flower/Leaf Vegetables,8.42,Thursday,False,Hongshujian
1.679,12.0,Capsicum,16.33,Thursday,False,Bell Pepper (1)
4.148,25.8,Capsicum,5.86,Thursday,False,Millet Pepper
5.844,10.0,Capsicum,10.18,Thursday,False,Luosi Pepper
4.811,8.48,Flower/Leaf Vegetables,15.61,Thursday,False,Huangbaicai (2)
1.392,10.0,Flower/Leaf Vegetables,27.84,Thursday,False,Dongmenkou Xiaobaicai
0.857,16.0,Flower/Leaf Vegetables,26.16,Thursday,False,Foreign Garland Chrysanthemum 
13.548,8.0,Flower/Leaf Vegetables,9.43,Thursday,False,Sweet Chinese Cabbage
13.834,9.0,Cabbage,17.06,Thursday,False,Qinggengsanhua
0.258,37.6,Aquatic Tuberous Vegetables,24.05,Thursday,False,Honghu Lotus Root
4.721,14.0,Capsicum,7.8,Thursday,False,Green Line Pepper
1.825,14.0,Capsicum,15.98,Thursday,False,7 Colour Pepper (1)
1.394,12.0,Capsicum,8.93,Thursday,False,The Red Bell Pepper (1)
39.81,7.6,Capsicum,7.08,Thursday,False,Paopaojiao (Jingpin)
1.6669999999999998,8.0,Capsicum,6.72,Thursday,False,Green Hot Peppers
1.539,14.0,Edible Mushroom,8.99,Thursday,False,Jigu Mushroom (1)
1.679,16.0,Capsicum,9.99,Thursday,False,Red Hang Pepper
44.873,7.9585585585585585,Flower/Leaf Vegetables,15.25,Thursday,False,Yunnan Shengcai
11.556,6.0,Flower/Leaf Vegetables,13.62,Thursday,False,Zhuyecai
4.55,16.0,Flower/Leaf Vegetables,7.59,Thursday,False,Chinese Cabbage
6.806,10.0,Flower/Leaf Vegetables,14.43,Thursday,False,Shanghaiqing
14.275,8.0,Flower/Leaf Vegetables,13.7,Thursday,False,Caixin
3.124,7.0,Flower/Leaf Vegetables,7.61,Thursday,False,Muercai
11.228,3.0076923076923077,Flower/Leaf Vegetables,22.27,Thursday,False,Chinese Cabbage
8.112,6.0,Flower/Leaf Vegetables,18.52,Thursday,False,Amaranth
3.2969999999999997,10.0,Capsicum,11.76,Thursday,False,Red Pepper (1)
14.432,7.0,Solanum,6.07,Thursday,False,Eggplant (2)
17.767,4.0,Solanum,5.01,Thursday,False,Green Eggplant (1)
17.345,19.8,Edible Mushroom,13.82,Thursday,False,Xixia Mushroom (1)
17.208000000000002,6.0,Edible Mushroom,3.43,Thursday,False,Needle Mushroom (1)
30.109,14.0,Cabbage,9.26,Thursday,False,Broccoli
10.625,8.0,Flower/Leaf Vegetables,10.64,Thursday,False,Yellow Xincai (1)
27.056,6.0,Flower/Leaf Vegetables,12.81,Thursday,False,Yunnan Lettuces
32.351,7.6,Capsicum,7.08,Friday,False,Paopaojiao (Jingpin)
1.581,14.0,Capsicum,15.98,Friday,False,7 Colour Pepper (1)
9.572,8.2,Aquatic Tuberous Vegetables,29.25,Friday,False,High Melon (1)
12.0,6.842857142857143,Flower/Leaf Vegetables,2.48,Friday,False,Wawacai
1.816,16.0,Edible Mushroom,9.89,Friday,False,Haixian Mushroom (1)
13.734,5.7073170731707314,Flower/Leaf Vegetables,8.42,Friday,False,Hongshujian
1.369,12.0,Capsicum,16.33,Friday,False,Bell Pepper (1)
3.935,25.800000000000004,Capsicum,5.86,Friday,False,Millet Pepper
2.09,16.0,Flower/Leaf Vegetables,26.16,Friday,False,Foreign Garland Chrysanthemum 
9.099,10.0,Capsicum,10.18,Friday,False,Luosi Pepper
2.239,14.0,Capsicum,8.93,Friday,False,The Red Bell Pepper (1)
3.478,10.0,Flower/Leaf Vegetables,27.84,Friday,False,Dongmenkou Xiaobaicai
13.562,8.0,Flower/Leaf Vegetables,9.43,Friday,False,Sweet Chinese Cabbage
15.616,8.0,Cabbage,17.06,Friday,False,Qinggengsanhua
4.7059999999999995,14.0,Capsicum,7.8,Friday,False,Green Line Pepper
9.991,9.0,Flower/Leaf Vegetables,15.61,Friday,False,Huangbaicai (2)
9.444,10.0,Edible Mushroom,5.05,Friday,False,Apricot Bao Mushroom (1)
1.904,16.0,Capsicum,9.99,Friday,False,Red Hang Pepper
2.306,7.0,Flower/Leaf Vegetables,7.61,Friday,False,Muercai
6.943,8.0,Flower/Leaf Vegetables,10.64,Friday,False,Yellow Xincai (1)
36.309,8.0,Flower/Leaf Vegetables,15.25,Friday,False,Yunnan Shengcai
11.125,5.666666666666667,Flower/Leaf Vegetables,13.62,Friday,False,Zhuyecai
3.099,16.0,Flower/Leaf Vegetables,7.59,Friday,False,Chinese Cabbage
13.12,9.858620689655172,Flower/Leaf Vegetables,14.43,Friday,False,Shanghaiqing
8.173,8.0,Flower/Leaf Vegetables,13.7,Friday,False,Caixin
10.446,3.6,Flower/Leaf Vegetables,22.27,Friday,False,Chinese Cabbage
36.709,6.0,Flower/Leaf Vegetables,12.81,Friday,False,Yunnan Lettuces
7.694,6.0,Flower/Leaf Vegetables,18.52,Friday,False,Amaranth
4.738,10.0,Capsicum,11.76,Friday,False,Red Pepper (1)
2.331,8.0,Capsicum,6.72,Friday,False,Green Hot Peppers
26.46,14.0,Cabbage,9.26,Friday,False,Broccoli
14.633,7.0,Edible Mushroom,3.43,Friday,False,Needle Mushroom (1)
1.259,14.0,Edible Mushroom,8.99,Friday,False,Jigu Mushroom (1)
18.343,4.0,Solanum,5.01,Friday,False,Green Eggplant (1)
17.553,7.0,Solanum,6.07,Friday,False,Eggplant (2)
15.29,19.8,Edible Mushroom,13.82,Friday,False,Xixia Mushroom (1)
45.815,7.6,Capsicum,7.08,Saturday,True,Paopaojiao (Jingpin)
0.6930000000000001,14.0,Capsicum,15.98,Saturday,True,7 Colour Pepper (1)
3.107,10.0,Aquatic Tuberous Vegetables,29.25,Saturday,True,High Melon (1)
15.0,6.8133333333333335,Flower/Leaf Vegetables,2.48,Saturday,True,Wawacai
1.378,16.0,Edible Mushroom,9.89,Saturday,True,Haixian Mushroom (1)
0.618,12.0,Capsicum,16.33,Saturday,True,Bell Pepper (1)
3.4210000000000003,25.800000000000004,Capsicum,5.86,Saturday,True,Millet Pepper
10.682,13.976470588235294,Capsicum,10.18,Saturday,True,Luosi Pepper
0.945,14.0,Capsicum,8.93,Saturday,True,The Red Bell Pepper (1)
18.431,8.98125,Flower/Leaf Vegetables,15.61,Saturday,True,Huangbaicai (2)
15.843,8.0,Flower/Leaf Vegetables,9.43,Saturday,True,Sweet Chinese Cabbage
12.847,8.0,Cabbage,17.06,Saturday,True,Qinggengsanhua
2.332,37.6,Aquatic Tuberous Vegetables,24.05,Saturday,True,Honghu Lotus Root
8.509,12.0,Capsicum,7.8,Saturday,True,Green Line Pepper
1.703,16.0,Capsicum,9.99,Saturday,True,Red Hang Pepper
13.054,10.0,Edible Mushroom,5.05,Saturday,True,Apricot Bao Mushroom (1)
4.908,10.0,Flower/Leaf Vegetables,27.84,Saturday,True,Dongmenkou Xiaobaicai
1.596,14.0,Edible Mushroom,8.99,Saturday,True,Jigu Mushroom (1)
42.815,14.0,Cabbage,9.26,Saturday,True,Broccoli
5.2509999999999994,8.0,Flower/Leaf Vegetables,10.64,Saturday,True,Yellow Xincai (1)
51.205,8.0,Flower/Leaf Vegetables,15.25,Saturday,True,Yunnan Shengcai
20.571,6.0,Flower/Leaf Vegetables,13.62,Saturday,True,Zhuyecai
7.091,16.0,Flower/Leaf Vegetables,7.59,Saturday,True,Chinese Cabbage
13.034,8.0,Flower/Leaf Vegetables,13.7,Saturday,True,Caixin
4.099,7.0,Flower/Leaf Vegetables,7.61,Saturday,True,Muercai
9.638,3.6,Flower/Leaf Vegetables,22.27,Saturday,True,Chinese Cabbage
28.186,10.0,Flower/Leaf Vegetables,14.43,Saturday,True,Shanghaiqing
3.948,8.0,Capsicum,6.72,Saturday,True,Green Hot Peppers
4.948,10.0,Capsicum,11.76,Saturday,True,Red Pepper (1)
33.045,7.0,Solanum,6.07,Saturday,True,Eggplant (2)
24.022,4.0,Solanum,5.01,Saturday,True,Green Eggplant (1)
14.532,19.72207792207792,Edible Mushroom,13.82,Saturday,True,Xixia Mushroom (1)
16.702,7.0,Edible Mushroom,3.43,Saturday,True,Needle Mushroom (1)
43.33,5.996190476190477,Flower/Leaf Vegetables,12.81,Saturday,True,Yunnan Lettuces
14.044,10.0,Edible Mushroom,5.05,Sunday,True,Apricot Bao Mushroom (1)
4.019,10.0,Aquatic Tuberous Vegetables,29.25,Sunday,True,High Melon (1)
13.0,6.792307692307692,Flower/Leaf Vegetables,2.48,Sunday,True,Wawacai
55.159,6.0,Flower/Leaf Vegetables,8.42,Sunday,True,Hongshujian
0.626,12.0,Capsicum,16.33,Sunday,True,Bell Pepper (1)
3.699,25.8,Capsicum,5.86,Sunday,True,Millet Pepper
15.638,13.991111111111111,Capsicum,10.18,Sunday,True,Luosi Pepper
1.395,14.0,Capsicum,15.98,Sunday,True,7 Colour Pepper (1)
3.625,11.0,Flower/Leaf Vegetables,27.84,Sunday,True,Dongmenkou Xiaobaicai
17.408,8.0,Flower/Leaf Vegetables,9.43,Sunday,True,Sweet Chinese Cabbage
10.427,11.9875,Solanum,10.94,Sunday,True,Dalong Eggplant
13.109,8.0,Cabbage,17.06,Sunday,True,Qinggengsanhua
8.475,12.0,Capsicum,7.8,Sunday,True,Green Line Pepper
14.811,9.0,Flower/Leaf Vegetables,15.61,Sunday,True,Huangbaicai (2)
1.282,16.0,Capsicum,8.93,Sunday,True,The Red Bell Pepper (1)
53.874,7.599999999999999,Capsicum,7.08,Sunday,True,Paopaojiao (Jingpin)
20.0,3.5,Edible Mushroom,8.85,Sunday,True,Needle Mushroom (Bag) (1)
1.772,14.0,Edible Mushroom,8.99,Sunday,True,Jigu Mushroom (1)
34.249,7.997826086956521,Flower/Leaf Vegetables,15.25,Sunday,True,Yunnan Shengcai
30.937,5.9971014492753625,Flower/Leaf Vegetables,13.62,Sunday,True,Zhuyecai
12.038,9.989285714285714,Flower/Leaf Vegetables,14.43,Sunday,True,Shanghaiqing
10.791,8.0,Flower/Leaf Vegetables,13.7,Sunday,True,Caixin
3.568,7.0,Flower/Leaf Vegetables,7.61,Sunday,True,Muercai
2.56,16.0,Capsicum,9.99,Sunday,True,Red Hang Pepper
9.698,4.0,Flower/Leaf Vegetables,22.27,Sunday,True,Chinese Cabbage
6.021,6.0,Flower/Leaf Vegetables,18.52,Sunday,True,Amaranth
3.535,8.0,Capsicum,6.72,Sunday,True,Green Hot Peppers
7.412,10.0,Capsicum,11.76,Sunday,True,Red Pepper (1)
26.966,6.996,Solanum,6.07,Sunday,True,Eggplant (2)
24.423,4.0,Solanum,5.01,Sunday,True,Green Eggplant (1)
18.406,19.8,Edible Mushroom,13.82,Sunday,True,Xixia Mushroom (1)
18.991,7.0,Edible Mushroom,3.43,Sunday,True,Needle Mushroom (1)
42.365,14.0,Cabbage,9.26,Sunday,True,Broccoli
12.594,6.0,Flower/Leaf Vegetables,12.81,Sunday,True,Yunnan Lettuces
10.0,6.87,Flower/Leaf Vegetables,2.48,Monday,False,Wawacai
1.202,17.0,Edible Mushroom,9.89,Monday,False,Haixian Mushroom (1)
15.903,6.0,Flower/Leaf Vegetables,8.42,Monday,False,Hongshujian
1.127,12.0,Capsicum,16.33,Monday,False,Bell Pepper (1)
3.064,25.8,Capsicum,5.86,Monday,False,Millet Pepper
9.012,10.0,Edible Mushroom,5.05,Monday,False,Apricot Bao Mushroom (1)
10.36,14.0,Capsicum,10.18,Monday,False,Luosi Pepper
40.201,7.617647058823529,Flower/Leaf Vegetables,9.43,Monday,False,Sweet Chinese Cabbage
4.0,3.475,Edible Mushroom,8.85,Monday,False,Needle Mushroom (Bag) (1)
5.682,15.973333333333333,Flower/Leaf Vegetables,26.16,Monday,False,Foreign Garland Chrysanthemum 
5.333,12.0,Solanum,10.94,Monday,False,Dalong Eggplant
18.287,9.0,Cabbage,17.06,Monday,False,Qinggengsanhua
5.11,12.0,Capsicum,7.8,Monday,False,Green Line Pepper
8.631,9.0,Flower/Leaf Vegetables,15.61,Monday,False,Huangbaicai (2)
3.089,9.972727272727273,Aquatic Tuberous Vegetables,29.25,Monday,False,High Melon (1)
1.234,18.0,Capsicum,8.93,Monday,False,The Red Bell Pepper (1)
1.273,14.0,Capsicum,15.98,Monday,False,7 Colour Pepper (1)
26.296,7.6,Capsicum,7.08,Monday,False,Paopaojiao (Jingpin)
5.854,6.0,Flower/Leaf Vegetables,18.52,Monday,False,Amaranth
2.014,16.0,Capsicum,9.99,Monday,False,Red Hang Pepper
36.532,8.0,Flower/Leaf Vegetables,15.25,Monday,False,Yunnan Shengcai
14.131,6.0,Flower/Leaf Vegetables,13.62,Monday,False,Zhuyecai
6.496,16.0,Flower/Leaf Vegetables,7.59,Monday,False,Chinese Cabbage
13.458,10.0,Flower/Leaf Vegetables,14.43,Monday,False,Shanghaiqing
3.539,7.0,Flower/Leaf Vegetables,7.61,Monday,False,Muercai
14.098,4.0,Flower/Leaf Vegetables,22.27,Monday,False,Chinese Cabbage
11.053,6.0,Flower/Leaf Vegetables,12.81,Monday,False,Yunnan Lettuces
10.162,8.0,Flower/Leaf Vegetables,13.7,Monday,False,Caixin
4.308,10.0,Capsicum,11.76,Monday,False,Red Pepper (1)
8.96,8.0,Solanum,6.07,Monday,False,Eggplant (2)
16.434,4.0,Solanum,5.01,Monday,False,Green Eggplant (1)
13.35,19.8,Edible Mushroom,13.82,Monday,False,Xixia Mushroom (1)
11.911,7.0,Edible Mushroom,3.43,Monday,False,Needle Mushroom (1)
24.434,13.984615384615385,Cabbage,9.26,Monday,False,Broccoli
1.103,14.0,Edible Mushroom,8.99,Monday,False,Jigu Mushroom (1)
3.896,8.0,Capsicum,6.72,Monday,False,Green Hot Peppers
13.453,9.983720930232558,Edible Mushroom,5.05,Tuesday,False,Apricot Bao Mushroom (1)
3.117,10.0,Aquatic Tuberous Vegetables,29.25,Tuesday,False,High Melon (1)
10.0,6.575,Flower/Leaf Vegetables,2.48,Tuesday,False,Wawacai
2.2159999999999997,17.0,Edible Mushroom,9.89,Tuesday,False,Haixian Mushroom (1)
14.121,4.838709677419355,Flower/Leaf Vegetables,8.42,Tuesday,False,Hongshujian
1.787,12.0,Capsicum,16.33,Tuesday,False,Bell Pepper (1)
2.738,25.8,Capsicum,5.86,Tuesday,False,Millet Pepper
11.96,14.0,Capsicum,10.18,Tuesday,False,Luosi Pepper
1.323,14.0,Capsicum,15.98,Tuesday,False,7 Colour Pepper (1)
4.0,3.4,Edible Mushroom,8.85,Tuesday,False,Needle Mushroom (Bag) (1)
1.266,11.0,Flower/Leaf Vegetables,27.84,Tuesday,False,Dongmenkou Xiaobaicai
3.416,16.0,Flower/Leaf Vegetables,26.16,Tuesday,False,Foreign Garland Chrysanthemum 
8.107,8.0,Flower/Leaf Vegetables,9.43,Tuesday,False,Sweet Chinese Cabbage
22.699,9.0,Cabbage,17.06,Tuesday,False,Qinggengsanhua
4.226,12.0,Capsicum,7.8,Tuesday,False,Green Line Pepper
8.897,9.0,Flower/Leaf Vegetables,15.61,Tuesday,False,Huangbaicai (2)
1.374,18.0,Capsicum,8.93,Tuesday,False,The Red Bell Pepper (1)
8.51,8.0,Capsicum,7.08,Tuesday,False,Paopaojiao (Jingpin)
8.062,6.0,Flower/Leaf Vegetables,18.52,Tuesday,False,Amaranth
1.137,14.0,Edible Mushroom,8.99,Tuesday,False,Jigu Mushroom (1)
2.353,16.0,Capsicum,9.99,Tuesday,False,Red Hang Pepper
30.058,10.0,Flower/Leaf Vegetables,15.25,Tuesday,False,Yunnan Shengcai
11.756,6.0,Flower/Leaf Vegetables,13.62,Tuesday,False,Zhuyecai
6.929,16.0,Flower/Leaf Vegetables,7.59,Tuesday,False,Chinese Cabbage
9.861,10.0,Flower/Leaf Vegetables,14.43,Tuesday,False,Shanghaiqing
5.059,7.0,Flower/Leaf Vegetables,7.61,Tuesday,False,Muercai
14.828,3.9791666666666665,Flower/Leaf Vegetables,22.27,Tuesday,False,Chinese Cabbage
28.214,6.0,Flower/Leaf Vegetables,12.81,Tuesday,False,Yunnan Lettuces
11.478,8.0,Flower/Leaf Vegetables,13.7,Tuesday,False,Caixin
4.158,10.0,Capsicum,11.76,Tuesday,False,Red Pepper (1)
14.6,8.0,Solanum,6.07,Tuesday,False,Eggplant (2)
17.512,4.0,Solanum,5.01,Tuesday,False,Green Eggplant (1)
14.533,19.8,Edible Mushroom,13.82,Tuesday,False,Xixia Mushroom (1)
16.797,7.6,Edible Mushroom,3.43,Tuesday,False,Needle Mushroom (1)
23.05,14.0,Cabbage,9.26,Tuesday,False,Broccoli
0.424,13.0,Edible Mushroom,11.6,Tuesday,False,Ping Mushroom
3.784,8.0,Capsicum,6.72,Tuesday,False,Green Hot Peppers
0.985,12.0,Capsicum,16.33,Wednesday,False,Bell Pepper (1)
22.055,8.0,Capsicum,7.08,Wednesday,False,Paopaojiao (Jingpin)
1.08,14.0,Capsicum,15.98,Wednesday,False,7 Colour Pepper (1)
2.366,10.0,Aquatic Tuberous Vegetables,29.25,Wednesday,False,High Melon (1)
6.0,6.51875,Flower/Leaf Vegetables,2.48,Wednesday,False,Wawacai
1.639,17.0,Edible Mushroom,9.89,Wednesday,False,Haixian Mushroom (1)
18.985,5.553191489361702,Flower/Leaf Vegetables,8.42,Wednesday,False,Hongshujian
3.165,25.8,Capsicum,5.86,Wednesday,False,Millet Pepper
2.697,16.0,Capsicum,9.99,Wednesday,False,Red Hang Pepper
20.043,13.483870967741936,Capsicum,10.18,Wednesday,False,Luosi Pepper
1.859,18.0,Capsicum,8.93,Wednesday,False,The Red Bell Pepper (1)
1.146,18.0,Flower/Leaf Vegetables,26.16,Wednesday,False,Foreign Garland Chrysanthemum 
15.712,8.0,Flower/Leaf Vegetables,9.43,Wednesday,False,Sweet Chinese Cabbage
20.792,9.0,Cabbage,17.06,Wednesday,False,Qinggengsanhua
3.772,12.0,Capsicum,7.8,Wednesday,False,Green Line Pepper
13.7,9.0,Flower/Leaf Vegetables,15.61,Wednesday,False,Huangbaicai (2)
12.148,10.0,Edible Mushroom,5.05,Wednesday,False,Apricot Bao Mushroom (1)
0.908,14.0,Edible Mushroom,8.99,Wednesday,False,Jigu Mushroom (1)
9.079,6.0,Flower/Leaf Vegetables,18.52,Wednesday,False,Amaranth
6.102,8.0,Flower/Leaf Vegetables,10.64,Wednesday,False,Yellow Xincai (1)
21.339,10.0,Flower/Leaf Vegetables,15.25,Wednesday,False,Yunnan Shengcai
7.927,6.0,Flower/Leaf Vegetables,13.62,Wednesday,False,Zhuyecai
5.33,16.0,Flower/Leaf Vegetables,7.59,Wednesday,False,Chinese Cabbage
4.875,8.0,Flower/Leaf Vegetables,13.46,Wednesday,False,Nanguajian
12.569,10.0,Flower/Leaf Vegetables,14.43,Wednesday,False,Shanghaiqing
8.835,8.0,Flower/Leaf Vegetables,13.7,Wednesday,False,Caixin
4.429,7.0,Flower/Leaf Vegetables,7.61,Wednesday,False,Muercai
6.8100000000000005,4.0,Flower/Leaf Vegetables,22.27,Wednesday,False,Chinese Cabbage
8.239,16.0,Aquatic Tuberous Vegetables,5.54,Wednesday,False,Net Lotus Root (1)
5.554,8.0,Capsicum,6.72,Wednesday,False,Green Hot Peppers
4.67,10.0,Capsicum,11.76,Wednesday,False,Red Pepper (1)
18.588,7.96060606060606,Solanum,6.07,Wednesday,False,Eggplant (2)
21.082,4.0,Solanum,5.01,Wednesday,False,Green Eggplant (1)
14.827,19.8,Edible Mushroom,13.82,Wednesday,False,Xixia Mushroom (1)
14.446,7.599999999999999,Edible Mushroom,3.43,Wednesday,False,Needle Mushroom (1)
24.641,14.0,Cabbage,9.26,Wednesday,False,Broccoli
9.732,6.0,Flower/Leaf Vegetables,12.81,Wednesday,False,Yunnan Lettuces
31.46,8.0,Capsicum,7.08,Thursday,False,Paopaojiao (Jingpin)
0.379,14.0,Capsicum,15.98,Thursday,False,7 Colour Pepper (1)
2.106,10.0,Aquatic Tuberous Vegetables,29.25,Thursday,False,High Melon (1)
9.0,6.9,Flower/Leaf Vegetables,2.48,Thursday,False,Wawacai
1.543,17.0,Edible Mushroom,9.89,Thursday,False,Haixian Mushroom (1)
19.198,6.0,Flower/Leaf Vegetables,8.42,Thursday,False,Hongshujian
1.252,12.0,Capsicum,16.33,Thursday,False,Bell Pepper (1)
1.875,25.8,Capsicum,5.86,Thursday,False,Millet Pepper
1.123,18.0,Flower/Leaf Vegetables,26.16,Thursday,False,Foreign Garland Chrysanthemum 
9.917,14.0,Capsicum,10.18,Thursday,False,Luosi Pepper
0.156,18.0,Capsicum,8.93,Thursday,False,The Red Bell Pepper (1)
13.772,8.0,Flower/Leaf Vegetables,9.43,Thursday,False,Sweet Chinese Cabbage
7.755,12.0,Solanum,10.94,Thursday,False,Dalong Eggplant
15.926,9.0,Cabbage,17.06,Thursday,False,Qinggengsanhua
4.951,12.0,Capsicum,7.8,Thursday,False,Green Line Pepper
1.888,16.0,Capsicum,9.99,Thursday,False,Red Hang Pepper
10.299,10.0,Edible Mushroom,5.05,Thursday,False,Apricot Bao Mushroom (1)
8.298,9.0,Flower/Leaf Vegetables,15.61,Thursday,False,Huangbaicai (2)
1.36,14.0,Edible Mushroom,8.99,Thursday,False,Jigu Mushroom (1)
25.205,14.0,Cabbage,9.26,Thursday,False,Broccoli
11.617,8.0,Flower/Leaf Vegetables,10.64,Thursday,False,Yellow Xincai (1)
9.78,5.0,Flower/Leaf Vegetables,18.52,Thursday,False,Amaranth
33.109,10.0,Flower/Leaf Vegetables,15.25,Thursday,False,Yunnan Shengcai
17.546,6.0,Flower/Leaf Vegetables,13.62,Thursday,False,Zhuyecai
10.182,10.0,Flower/Leaf Vegetables,14.43,Thursday,False,Shanghaiqing
8.685,7.65,Flower/Leaf Vegetables,13.7,Thursday,False,Caixin
4.013,7.0,Flower/Leaf Vegetables,7.61,Thursday,False,Muercai
3.761,16.0,Flower/Leaf Vegetables,7.59,Thursday,False,Chinese Cabbage
14.213,6.0,Flower/Leaf Vegetables,12.81,Thursday,False,Yunnan Lettuces
3.058,8.0,Capsicum,6.72,Thursday,False,Green Hot Peppers
3.924,10.0,Capsicum,11.76,Thursday,False,Red Pepper (1)
9.949,8.0,Solanum,6.07,Thursday,False,Eggplant (2)
8.217,4.0,Solanum,5.01,Thursday,False,Green Eggplant (1)
10.544,19.8,Edible Mushroom,13.82,Thursday,False,Xixia Mushroom (1)
14.091,7.6,Edible Mushroom,3.43,Thursday,False,Needle Mushroom (1)
23.142,4.0,Flower/Leaf Vegetables,22.27,Thursday,False,Chinese Cabbage
17.277,5.932608695652173,Flower/Leaf Vegetables,8.42,Friday,False,Hongshujian
1.841,15.821428571428571,Capsicum,9.99,Friday,False,Red Hang Pepper
21.454,9.959701492537311,Capsicum,7.08,Friday,False,Paopaojiao (Jingpin)
1.052,14.0,Capsicum,15.98,Friday,False,7 Colour Pepper (1)
2.575,10.0,Aquatic Tuberous Vegetables,29.25,Friday,False,High Melon (1)
14.0,6.685714285714286,Flower/Leaf Vegetables,2.48,Friday,False,Wawacai
1.858,17.89090909090909,Edible Mushroom,9.89,Friday,False,Haixian Mushroom (1)
3.835,25.65,Capsicum,5.86,Friday,False,Millet Pepper
4.0,3.5,Edible Mushroom,16.04,Friday,False,The Crab Flavor Mushroom (2)
21.339,11.96935483870968,Capsicum,10.18,Friday,False,Luosi Pepper
13.334,7.966666666666667,Flower/Leaf Vegetables,9.43,Friday,False,Sweet Chinese Cabbage
7.046,11.914285714285716,Solanum,10.94,Friday,False,Dalong Eggplant
34.412,7.878082191780822,Cabbage,17.06,Friday,False,Qinggengsanhua
3.877,13.908333333333331,Capsicum,7.8,Friday,False,Green Line Pepper
11.604,8.941666666666666,Flower/Leaf Vegetables,15.61,Friday,False,Huangbaicai (2)
1.465,13.857142857142858,Edible Mushroom,8.99,Friday,False,Jigu Mushroom (1)
11.479,9.958823529411765,Edible Mushroom,5.05,Friday,False,Apricot Bao Mushroom (1)
6.45,15.947058823529414,Aquatic Tuberous Vegetables,5.54,Friday,False,Net Lotus Root (1)
0.835,18.0,Flower/Leaf Vegetables,26.16,Friday,False,Foreign Garland Chrysanthemum 
27.932,13.934920634920635,Cabbage,9.26,Friday,False,Broccoli
