Date,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/gram),Item Name_x,Category Code,Category Name,Wholesale Price (RMB/kg),Item Name_y,Weekday,IsWeekend,Loss Rate (%)_entropy
2021-04-11,102900005116233,2.685,0.016,Red Pepper (1),1011010504,Capsicum,9.48,Red Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.76_2.903859443009334
2020-12-15,900005115885,0.253,0.0198,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables,16.37,Caidian Quinoa Artemisia,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,0.47_0.33130259110600224
2021-05-17,900005115854,3.041,0.004,Radish Leaves,1011010101,Flower/Leaf Vegetables,2.08,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.35_8.040900135622026
2021-1-1,106949711300068,15,0.0039,Needle Mushroom (Bag) (3),1011010801,Edible Mushroom,2.49,Needle Mushroom (Bag) (3),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_30.964219348850584
2021-08-29,106958851400125,1,0.0039,Haixian Mushroom (Bag) (4),1011010801,Edible Mushroom,2.38,Haixian Mushroom (Bag) (4),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_1.0426742709860517
2021-1-1,102900005116547,11.623,0.008,Needle Mushroom (1),1011010801,Edible Mushroom,5.27,Needle Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,3.43_-0.4767588360307471
2020-07-27,106956146480197,3,0.003333333333,The White Mushroom (2),1011010801,Edible Mushroom,2.01,The White Mushroom (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.3_2.6605647718624
2021-03-27,102900005116509,1.624,0.01,Green Eggplant (1),1011010501,Solanum,6.66,Green Eggplant (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.01_0.9131005143694902
2021-05-18,102900005116547,5.837,0.006,missing,1011010801,Edible Mushroom,2.83,Needle Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,3.43_0.48144237937213763
2020-08-07,900005117056,53.052,0.009,Paopaojiao (Jingpin),1011010504,Capsicum,6.25,Paopaojiao (Jingpin),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.08_8.543738374021153
2021-02-06,102900005119944,0.572,0.014,Haixian Mushroom (1),1011010801,Edible Mushroom,8.32,Haixian Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.89_1.1072438852518878
2021-11-09,102900005115984,3.253,0.01,missing,1011010101,Flower/Leaf Vegetables,6.16,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_4.396325368821056
2020-11-17,102900005125815,2.065,0.01,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,5.61,Apricot Bao Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.05_0.5307955151423365
2021-09-08,102900005115946,3.526,0.01,Muercai,1011010101,Flower/Leaf Vegetables,5.96,Muercai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.61_5.9587925771475465
2021-04-02,102900005115762,12.386,0.005,Amaranth,1011010101,Flower/Leaf Vegetables,3.85,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.52_2.749054269862416
2021-06-01,102900005115793,2.547,0.012,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,8.07,Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.59_3.643354592172587
2021-11-07,102900005115878,29.539,0.006,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables,3.16,Garden Chrysanthemum,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.27_-24.641996929662987
2020-10-18,102900005117209,0.736,0.0258,7 Colour Pepper (1),1011010504,Capsicum,14.74,7 Colour Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.98_0.779319130212348
2020-07-07,102900005115984,28.214,0.006,missing,1011010101,Flower/Leaf Vegetables,3.73,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_15.923775155751155
2020-10-09,102900005115984,15.975,-0.01,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,6.87,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_23.918861302228787
2021-04-12,102900005118824,1.122,0.014,High Melon (1),1011010402,Aquatic Tuberous Vegetables,6.58,High Melon (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,29.25_0.5809840266733076
2021-1-1,102900005115786,2.145,0.014,Zhuyecai,1011010101,Flower/Leaf Vegetables,10.75,Zhuyecai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.62_2.8295060508711805
2021-05-20,102900005115823,5.663,0.005,Shanghaiqing,1011010101,Flower/Leaf Vegetables,2.76,Shanghaiqing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,14.43_10.409180612099522
2021-09-09,102900005116509,2.35,0.01,Green Eggplant (1),1011010501,Solanum,6.63,Green Eggplant (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.01_-0.7979311851900261
2021-07-24,102900005125808,3.112,0.014,Millet Pepper,1010504,Capsicum,7.55,Millet Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.86_8.618829771307027
2021-05-13,102900005118824,5.264,0.01,High Melon (1),1011010402,Aquatic Tuberous Vegetables,5.68,High Melon (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,29.25_15.871988808091519
2020-10-28,102900005115878,10.002,0.007,Garden Chrysanthemum,1011010101,Flower/Leaf Vegetables,4,Garden Chrysanthemum,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.27_21.536878464992512
2021-1-1,102900005116509,1.221,0.011,Green Eggplant (1),1011010501,Solanum,7.21,Green Eggplant (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.01_2.0756633923636603
2020-08-13,102900005116233,1.747,0.018,Red Pepper (1),1010504,Capsicum,11.73,Red Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.76_2.6639817717887855
2021-06-12,102900005116899,14.351,0.016,Net Lotus Root (1),1011010402,Aquatic Tuberous Vegetables,9.55,Net Lotus Root (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.54_15.808773468571395
2021-1-1,102900011009970,18.449,0.008,Qinggengsanhua,1011010201,Cabbage,5.11,Qinggengsanhua,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,17.06_40.17342560314622
2021-07-29,900051010455,17.405,0.006,Huangbaicai (2),1010101,Flower/Leaf Vegetables,3.12,Huangbaicai (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.61_-1.9673391816999413
2021-06-19,102900005115984,22.752,0.005,Yunnan Lettuces,1010101,Flower/Leaf Vegetables,2.87,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_6.418808783919619
2021-12-03,102900005118817,2.349,0.008,Spinach,1011010101,Flower/Leaf Vegetables,4.8,Spinach,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.51_3.896800706567325
2021-06-08,102900005123880,0.12,0.01,Bell Pepper (1),1010504,Capsicum,5.28,Bell Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,16.33_0.13854593116776212
2021-02-15,102900011001806,7,0.0069,Jigu Mushroom (Bunch),1011010801,Edible Mushroom,4.6,Jigu Mushroom (Bunch),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.42_4.338069149167567
2021-04-23,900005115762,11.747,0.0034,Amaranth,1011010101,Flower/Leaf Vegetables,2.57,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.52_15.304470689233613
2021-05-05,102900005118572,16.672,0.002,Local Shanghaiqing,1011010101,Flower/Leaf Vegetables,1.6,Local Shanghaiqing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.99_12.780875238103762
2021-12-10,102900005125808,0.066,0.0336,Millet Pepper,1011010504,Capsicum,15.73,Millet Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.86_0.03208690569591609
2020-07-06,102900011009970,18.287,0.009,Qinggengsanhua,1011010201,Cabbage,5.6,Qinggengsanhua,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,17.06_30.389033917851854
2021-04-12,102900011022030,2,0.0139,Pepper Mix,1011010504,Capsicum,2.4,Pepper Mix,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.43_2.1899289572825977
2020-12-11,102900011012994,5,0.0059,Apricot Bao Mushroom (Bag),1011010801,Edible Mushroom,3.48,Apricot Bao Mushroom (Bag),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.03_7.83394077374634
2020-08-23,102900005115960,18.872,0.004,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,2.4,Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,22.27_36.69610724534367
2020-09-26,102900011009246,2.01,0.014,Fresh Black Fungus (1),1011010801,Edible Mushroom,7.51,Fresh Black Fungus (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.63_-0.6763372339601861
2021-02-25,106958851400125,20,0.0039,Haixian Mushroom (Bag) (4),1010801,Edible Mushroom,2.81,Haixian Mushroom (Bag) (4),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_54.26687597330322
2021-09-01,102900005116943,1.128,0.016,Red Hang Pepper,1011010504,Capsicum,8.23,Red Hang Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.99_2.424458431885987
2021-06-06,102900005116226,1.147,0.007,Green Hot Peppers,1011010504,Capsicum,4.06,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.72_4.138982789201001
2020-10-01,102900011008522,16.166,0.008,Sweet Chinese Cabbage,1011010101,Flower/Leaf Vegetables,4.72,Sweet Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.43_31.581104098749048
2021-04-25,102900005115984,10.963,0.007,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,4.38,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_17.155223496536365
2021-04-17,900005116790,4.972,0.007,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,3.81,Yellow Xincai (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.64_10.960337046502843
2020-08-24,102900011013274,2,0.0079,The White Mushroom (Bag),1011010801,Edible Mushroom,4.22,The White Mushroom (Bag),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.57_2.528634231344749
2021-06-26,102900005116509,13.178,0.0026,Green Eggplant (1),1011010501,Solanum,1.42,Green Eggplant (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.01_20.671623069722273
2021-1-1,102900011009246,0.236,0.014,Fresh Black Fungus (1),1011010801,Edible Mushroom,7.29,Fresh Black Fungus (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.63_0.2562587258399016
2021-05-26,102900005116714,21.801,0.008,Broccoli,1011010201,Cabbage,5.24,Broccoli,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.26_24.23353919917578
2021-12-29,900011008164,1.464,0.004,missing,1011010101,Flower/Leaf Vegetables,3.03,Naibaicai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.68_1.3747762701759378
2021-06-19,102900005119098,2.866,0.0238,The Agaricus Bisporus,1011010801,Edible Mushroom,16.3,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.78_0.16958985494573975
2021-04-22,102900005116790,5.301,0.007,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,3.84,Yellow Xincai (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.64_8.632450985305065
2021-03-02,102900051000463,0.512,0.009,Round Eggplant (2),1011010501,Solanum,5.14,Round Eggplant (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.71_-0.15637164383091195
2020-12-01,102900011009444,1.469,0.012,Dalong Eggplant,1011010501,Solanum,8.14,Dalong Eggplant,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.94_2.188559785476219
2021-05-23,900011006689,2.772,0.005,Dongmenkou Xiaobaicai,1011010101,Flower/Leaf Vegetables,2.35,Dongmenkou Xiaobaicai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,27.84_5.985476124291861
2020-12-06,102900005117209,0.783,0.016,7 Colour Pepper (1),1011010504,Capsicum,7.96,7 Colour Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.98_0.06727270284201803
2021-02-10,102900005119098,7.33,0.0318,The Agaricus Bisporus,1011010801,Edible Mushroom,19.52,The Agaricus Bisporus,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.78_18.215308957438936
2021-03-10,102900005125815,4.351,0.01,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,5.34,Apricot Bao Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.05_0.3987064384829604
2020-08-02,102900011000328,11.218,0.008,Luosi Pepper,1011010504,Capsicum,4.22,Luosi Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.18_15.298152668179466
2021-10-07,102900005116257,11.034,0.01,missing,1011010501,Solanum,7.31,Eggplant (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.07_6.6332020879020455
2020-12-29,102900005115908,5.889,0.008,Caixin,1011010101,Flower/Leaf Vegetables,5.46,Caixin,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.7_-3.0503328237808285
2020-10-22,102900005115885,2.053,0.016,Caidian Quinoa Artemisia,1011010101,Flower/Leaf Vegetables,10.23,Caidian Quinoa Artemisia,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,0.47_1.5729464054935487
2020-07-13,102900005116547,12.811,0.007987096774,Needle Mushroom (1),1011010801,Edible Mushroom,3.75,Needle Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,3.43_22.070947388143754
2020-11-07,102900005115984,7.822,0.007,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,3.84,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_9.607578661396076
2021-06-04,102900005115908,8.261,0.006,Caixin,1011010101,Flower/Leaf Vegetables,3.32,Caixin,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.7_9.71766983188237
2020-11-17,102900011001806,4,0.0069,Jigu Mushroom (Bunch),1011010801,Edible Mushroom,3.6,Jigu Mushroom (Bunch),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.42_3.522042856308178
2021-04-02,102900005116233,1.732,0.014,Red Pepper (1),1011010504,Capsicum,8.97,Red Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.76_0.7599287503076766
2021-08-20,900011016701,31.483,0.006,Wuhu Green Pepper (1),1011010504,Capsicum,5.35,Wuhu Green Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.7_66.56633324616672
2020-08-09,102900011001219,0.707,0.016,The Red Bell Pepper (1),1011010504,Capsicum,8.43,The Red Bell Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,8.93_0.8255974206736203
2021-1-1,102900011000328,2.544,0.0238,Luosi Pepper,1011010504,Capsicum,15.02,Luosi Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.18_2.706594227953865
2021-09-09,102900005116912,0.884,0.016,Jigu Mushroom (1),1011010801,Edible Mushroom,8.69,Jigu Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,8.99_0.21399881016181366
2021-12-20,106958851400125,8,0.0039,Haixian Mushroom (Bag) (4),1011010801,Edible Mushroom,2.28,Haixian Mushroom (Bag) (4),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_2.9430445056468493
2020-12-20,102900005116837,17.282,0.008,Ping Mushroom,1011010801,Edible Mushroom,4.77,Ping Mushroom,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.6_-3.4213646807280433
2020-10-11,102900005115984,13.084,0.01,Yunnan Lettuces,1011010101,Flower/Leaf Vegetables,6.87,Yunnan Lettuces,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.81_19.273527654474282
2020-10-22,102900005116837,8.869,0.0056,Ping Mushroom,1010801,Edible Mushroom,4.81,Ping Mushroom,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.6_2.616788883504758
2020-07-18,102900005116943,2.202,0.01784,Red Hang Pepper,1010504,Capsicum,8.93,Red Hang Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.99_0.33739658524170424
2021-07-30,106949711300068,5,0.0028,Needle Mushroom (Bag) (3),1011010801,Edible Mushroom,1.89,Needle Mushroom (Bag) (3),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.13_-0.4417548432923324
2021-11-11,102900005115861,7.323,0.004,Niushou Youcai,1011010101,Flower/Leaf Vegetables,2,Niushou Youcai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.17_15.237510121294147
2020-09-17,102900005115946,1.823,0.006,Muercai,1011010101,Flower/Leaf Vegetables,2.68,Muercai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.61_0.10407346852640931
2021-09-11,102900005118824,1.07,0.012,High Melon (1),1011010402,Aquatic Tuberous Vegetables,6.52,High Melon (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,29.25_0.8407104571477187
2021-07-11,102900005118817,13.373,0.01,missing,1011010101,Flower/Leaf Vegetables,6.15,Spinach,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.51_0.16065325180675494
2021-07-08,102900005115908,9.365,0.006,Caixin,1011010101,Flower/Leaf Vegetables,3.82,Caixin,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.7_16.742875098621333
2021-02-09,102900005116714,56.296,0.01,Broccoli,1011010201,Cabbage,5.45,Broccoli,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.26_94.50513825417204
2020-12-04,102900005116547,8.914,0.008,Needle Mushroom (1),1011010801,Edible Mushroom,5.3,Needle Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,3.43_7.63420318385898
2021-11-14,102900005116714,30.582,0.014,Broccoli,1010201,Cabbage,8.89,Broccoli,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.26_20.302817271179414
2021-08-05,900011008164,3.156,0.006,Naibaicai,1011010101,Flower/Leaf Vegetables,4.42,Naibaicai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.68_4.25318462369739
2020-11-15,102900011009246,0.458,0.014,Fresh Black Fungus (1),1011010801,Edible Mushroom,7.4,Fresh Black Fungus (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,7.63_0.4020394218372298
2020-08-15,102900011001806,2,0.0059,Jigu Mushroom (Bunch),1011010801,Edible Mushroom,3.67,Jigu Mushroom (Bunch),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.42_1.8797518074367234
2021-02-05,102900005116837,10.369,0.006,Ping Mushroom,1011010801,Edible Mushroom,3.48,Ping Mushroom,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,11.6_-7.839429600343628
2020-12-28,102900005119098,2.519,0.01685,The Agaricus Bisporus,1011010801,Edible Mushroom,13.24,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,12.78_-1.8561279502663321
2021-1-1,102900005115960,63.604,0.0026,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,1.65,Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,22.27_-80.10788184494432
2021-05-25,102900005115960,8.652,0.0018,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,1.02,Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,22.27_15.219863157423115
2021-06-04,102900051000463,1.991,0.006,Round Eggplant (2),1011010501,Solanum,3.35,Round Eggplant (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.71_0.7724003660188492
2020-07-18,102900005119944,1.953,0.01728181818,Haixian Mushroom (1),1011010801,Edible Mushroom,9.91,Haixian Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,9.89_1.1575298919922874
2021-09-04,102900005115762,4.943,0.007,Amaranth,1010101,Flower/Leaf Vegetables,3.72,Amaranth,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,18.52_5.328881032320423
2021-12-29,102900011000328,6.656,0.00852173913,Luosi Pepper,1011010504,Capsicum,7.33,Luosi Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.18_22.28226860816776
2020-10-06,102900005125815,5.46,0.012,Apricot Bao Mushroom (1),1011010801,Edible Mushroom,7.04,Apricot Bao Mushroom (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.05_12.04179660594125
2021-09-21,102900005115908,9.266,0.01,Caixin,1010101,Flower/Leaf Vegetables,5.74,Caixin,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,13.7_11.155287000592223
2021-05-07,102900011011546,3,0.0039,Haixian Mushroom (Bag) (1),1011010801,Edible Mushroom,1,Haixian Mushroom (Bag) (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.96_3.131247260481332
2021-12-02,900011022764,0.387,0.014,Changxianqie,1011010501,Solanum,9.51,Changxianqie,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.9_-0.18827108515537172
2021-10-20,102900051000463,0.677,0.012,Round Eggplant (2),1011010501,Solanum,6.59,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.71_0.989710781286105
2020-09-20,102900005116790,15.807,0.0076,Yellow Xincai (1),1011010101,Flower/Leaf Vegetables,4.04,Yellow Xincai (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.64_20.35678707431221
2020-10-30,102900005116257,2.675,0.006,Eggplant (2),1011010501,Solanum,4.34,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.07_1.2592574706938506
2021-10-13,106949711300167,12,0.0029,Needle Mushroom (Bag) (2),1011010801,Edible Mushroom,1.88,Needle Mushroom (Bag) (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.64_4.441761067583533
2021-08-21,102900051010455,24.501,0.007,Huangbaicai (2),1011010101,Flower/Leaf Vegetables,4.16,Huangbaicai (2),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.61_41.13130071495253
2021-03-28,102900011000328,9.767,0.006,Luosi Pepper,1011010504,Capsicum,4.42,Luosi Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,10.18_6.578029069644506
2021-10-28,102900005123880,0.251,0.014,Bell Pepper (1),1011010504,Capsicum,8.23,Bell Pepper (1),It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,16.33_0.30800933444813605
2021-09-16,102900005125808,2.437,0.014,Millet Pepper,1011010504,Capsicum,8.49,Millet Pepper,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,5.86_-0.18809962920297707
2021-03-25,102900011009970,14.587,0.008,Qinggengsanhua,1011010201,Cabbage,5.58,Qinggengsanhua,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,17.06_-3.463861706577667
2021-11-29,102900005115779,7.811,0.0102,Yunnan Shengcai,1011010101,Flower/Leaf Vegetables,6.5,Yunnan Shengcai,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,15.25_-1.3895987538921872
2020-11-21,102900005115977,2.049,0.005,Wandoujian,1011010101,Flower/Leaf Vegetables,3.16,Wandoujian,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,8.36_3.3555540049720376
2021-10-06,102900005115960,26.876,0.0026,Chinese Cabbage,1011010101,Flower/Leaf Vegetables,1.6,Chinese Cabbage,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,22.27_53.46130711911864
2021-03-22,102900005116226,1.072,0.01,Green Hot Peppers,1011010504,Capsicum,5.73,missing,It would be so helpful to know the weekday,It would be so helpful to know if IsWeekend,6.72_0.9739857761943822
